Date,Production_centrales_hydrauliques,Production_centrales_nucleaires,Production_centrale_thermiques_classiques
2018-10,2417,1553,477
2018-11,2500,2241,451
2018-12,2637,2369,466
2019-1,3047,2373,463
2019-2,2216,2088,495
2019-3,2249,2375,492
2019-4,2699,2259,442
2019-5,3139,2038,538
2019-6,4809,919,564
2019-7,5074,2047,574
2019-8,4819,1954,525
2019-9,3057,2163,502
2019-10,3268,2441,488
2019-11,3153,2373,477
2019-12,3026,2250,498
2020-1,3219,2187,498
2020-2,2736,2047,531
2020-3,3005,2185,542
2020-4,2778,1974,519
2020-5,3671,1944,554
2020-6,4181,1476,546
2020-7,4393,1249,618
2020-8,3889,1626,557
2020-9,3364,2067,555
2020-10,3431,2164,481
2020-11,3010,2103,473
2020-12,2939,1968,443
2021-1,3273,2147,401
2021-2,2772,1946,451
2021-3,2696,2174,540
2021-4,2287,2104,612
2021-5,3250,1576,605
2021-6,4792,629,632
2021-7,4947,1258,433
2021-8,4463,1040,594
2021-9,3103,1119,529
2021-10,2402,1277,513
2021-11,2877,1227,422
2021-12,2638,2033,453
2022-1,2689,2205,468
2022-2,2019,1989,484
2022-3,2076,2191,588
2022-4,2384,2104,626
2022-5,3448,1644,686
2022-6,3787,746,693
2022-7,3671,1706,636
2022-8,3233,1966,627
2022-9,2730,2071,586
2022-10,2655,2170,550
2022-11,2159,2121,509
2022-12,2650,2200,437
2023-1,3078,2202,439
2023-2,2421,1983,508
2023-3,2735,2191,594
2023-4,2391,2119,702
2023-5,3800,1021,829
2023-6,4216,1337,890
2023-7,4057,2124,794
2023-8,4054,1884,767
2023-9,3865,1961,750
2023-10,3185,2180,645
2023-11,3727,2126,538
2023-12,3251,2206,484
2024-1,3893,2204,453
